Essay,Jurusan
"Gue demen banget gambar, apalagi bikin doodle di buku",SMK Seni dan Industri Kreatif
"Saya hobi banget motret pemandangan atau makanan, rasanya puas aja",SMK Seni dan Industri Kreatif
"Aku sering banget utak-atik aplikasi desain, bikin poster kecil-kecilan gitu",SMK Seni dan Industri Kreatif
"Nulis cerita itu bikin gue happy banget, apalagi yang seru-seru",SMK Seni dan Industri Kreatif
Tampil di panggung itu bikin aku excited banget,SMK Seni dan Industri Kreatif
"Gue sering edit video, terus di-upload biar keliatan keren",SMK Seni dan Industri Kreatif
"Aku suka banget gambar yang berhubungan sama seni rupa, rasanya bebas banget",SMK Seni dan Industri Kreatif
"Saya tertarik banget bikin animasi, meski baru belajar yang basic",SMK Seni dan Industri Kreatif
"Aku suka bikin lirik lagu sendiri, kadang gue nyanyi-nyanyi di rumah",SMK Seni dan Industri Kreatif
"Gue penasaran sama desain interior, kayaknya asik banget bikin ruangan jadi keren",SMK Seni dan Industri Kreatif
"Bikin kerajinan tangan itu fun banget, apalagi kalo hasilnya bagus",SMK Seni dan Industri Kreatif
Aku seneng banget belajar seni tradisional kayak bikin batik atau ukir,SMK Seni dan Industri Kreatif
Gue hobi banget bikin ilustrasi digital pake tablet,SMK Seni dan Industri Kreatif
Gue penasaran sama gimana bikin efek suara buat video atau film,SMK Seni dan Industri Kreatif
"Gue sering banget nyoret-nyoret desain baju, kayaknya seru kalo bisa beneran bikin",SMK Seni dan Industri Kreatif
"Saya demen banget belajar fotografi komersial, kayak bikin iklan gitu",SMK Seni dan Industri Kreatif
Gue suka banget main alat musik dan bikin nada-nada random,SMK Seni dan Industri Kreatif
"Aku tertarik banget bikin patung, apalagi kalo bahannya dari tanah liat",SMK Seni dan Industri Kreatif
"Gue sering bikin poster buat acara di sekolah, seru banget",SMK Seni dan Industri Kreatif
"Saya demen banget bikin komik, gambar-gambar cerita gitu",SMK Seni dan Industri Kreatif
Aku seneng main-main sama warna di seni lukis,SMK Seni dan Industri Kreatif
"Gue suka bikin konsep iklan, apalagi yang out of the box",SMK Seni dan Industri Kreatif
"Aku suka banget belajar sejarah seni, keren aja gitu tau asal-usulnya",SMK Seni dan Industri Kreatif
Saya excited banget kalo diajak latihan seni tari modern,SMK Seni dan Industri Kreatif
Aku sering bikin logo iseng-iseng pake aplikasi di HP,SMK Seni dan Industri Kreatif
Gue suka banget nonton film pendek dan pengen bikin juga,SMK Seni dan Industri Kreatif
Aku tertarik belajar sablon kaos atau teknik cetak lainnya,SMK Seni dan Industri Kreatif
Saya suka banget belajar teknik pencahayaan biar hasil karya makin keren,SMK Seni dan Industri Kreatif
"Gue pengen banget belajar bikin seni grafiti, kayaknya keren banget",SMK Seni dan Industri Kreatif
"Gue suka banget bikin sketsa karakter anime, seru aja gitu",SMK Seni dan Industri Kreatif
Aku demen banget nyobain brush baru di aplikasi desain digital,SMK Seni dan Industri Kreatif
"Gue suka bikin cerita bergambar, apalagi kalau temanya fantasi",SMK Seni dan Industri Kreatif
Saya sering bikin video pendek buat iseng-iseng sama temen-temen,SMK Seni dan Industri Kreatif
Aku tertarik bikin karya seni yang bisa dipajang di galeri,SMK Seni dan Industri Kreatif
Saya suka banget bikin poster promosi buat acara sekolah,SMK Seni dan Industri Kreatif
Aku sering eksperimen sama cat air buat bikin lukisan unik,SMK Seni dan Industri Kreatif
Saya penasaran banget gimana caranya bikin motion graphic,SMK Seni dan Industri Kreatif
Gue suka banget ngedit foto biar keliatan aesthetic,SMK Seni dan Industri Kreatif
Aku sering dengerin musik dan pengen coba bikin lagu sendiri,SMK Seni dan Industri Kreatif
"Gue demen banget bikin doodle di tembok kamar, kayak graffiti kecil-kecilan gitu",SMK Seni dan Industri Kreatif
Saya tertarik bikin cerita pendek visual pakai ilustrasi,SMK Seni dan Industri Kreatif
Gue suka banget bikin model miniatur dari barang bekas,SMK Seni dan Industri Kreatif
Aku seneng banget bikin pola batik manual di kain,SMK Seni dan Industri Kreatif
Gue pengen belajar bikin ilustrasi digital yang dipakai buat komik online,SMK Seni dan Industri Kreatif
Saya suka bikin desain buat cover buku atau majalah,SMK Seni dan Industri Kreatif
Gue pengen banget belajar bikin video animasi buat YouTube,SMK Seni dan Industri Kreatif
"Aku suka bikin desain-desain kartu ucapan, biar keliatan kreatif",SMK Seni dan Industri Kreatif
Gue penasaran banget gimana caranya bikin efek visual di video,SMK Seni dan Industri Kreatif
Saya seneng banget bikin konsep desain interior buat ruang kelas,SMK Seni dan Industri Kreatif
Aku pengen belajar bikin logo yang keren buat bisnis kecil-kecilan,SMK Seni dan Industri Kreatif
Aku suka banget eksperimen bikin makeup karakter buat seni peran,SMK Seni dan Industri Kreatif
"Aku suka banget bikin props buat teater sekolah, kayak properti panggung gitu",SMK Seni dan Industri Kreatif
"Gue pengen belajar bikin efek makeup kayak di film horor, keren banget keliatannya",SMK Seni dan Industri Kreatif
Aku seneng banget bikin konsep mural buat dinding sekolah biar keliatan lebih hidup,SMK Seni dan Industri Kreatif
"Penasaran sama teknik produksi gas alam, kayaknya bakal seru kalau dipelajari",SMK Energi dan Pertambangan
Geologi pertambangan bikin aku ingin tau lebih tentang proses eksplorasi tambang,SMK Energi dan Pertambangan
"Energi biomassa buat sumber energi terbarukan itu menarik, aku tertarik belajar lebih dalam",SMK Energi dan Pertambangan
Rasanya seru banget kalau bisa belajar tentang cara pemboran minyak dan gas di lapangan,SMK Energi dan Pertambangan
Teknik energi surya dan hidro itu bikin gw pengen tahu lebih banyak soal energi ramah lingkungan,SMK Energi dan Pertambangan
"Aku suka banget belajar tentang pengolahan minyak dan gas, serasa jadi ahli energi",SMK Energi dan Pertambangan
"Tertarik banget mendalami proses pemboran, apalagi kalau ada praktek langsung di lapangan",SMK Energi dan Pertambangan
Pembelajaran soal teknik produksi minyak dan gas bikin gua pengen tau lebih banyak,SMK Energi dan Pertambangan
Rasanya asik kalau bisa belajar tentang eksplorasi tambang di kelas geologi,SMK Energi dan Pertambangan
Aku mau banget ngerti cara kerja energi biomassa buat masa depan yang lebih baik,SMK Energi dan Pertambangan
"Ngomongin energi surya, gw langsung tertarik pengen tahu gimana cara pemanfaatannya",SMK Energi dan Pertambangan
Aku penasaran banget sama cara pengolahan minyak yang ramah lingkungan,SMK Energi dan Pertambangan
"Geologi pertambangan seru banget, terutama belajar soal batuan yang bernilai",SMK Energi dan Pertambangan
"Aku pengen bisa belajar energi dari biomassa, kayaknya menarik buat dicoba",SMK Energi dan Pertambangan
"Belajar soal produksi gas dan minyak di kelas pasti menyenangkan, aku mau coba",SMK Energi dan Pertambangan
Pengen tahu lebih dalam soal pengeboran dan alat-alat yang dipakai,SMK Energi dan Pertambangan
Aku pengen mendalami cara pemrosesan minyak biar lebih ramah lingkungan,SMK Energi dan Pertambangan
Rasanya keren kalau bisa belajar soal eksplorasi tambang di geologi,SMK Energi dan Pertambangan
"Energi biomassa menarik banget buat dipelajari, apalagi soal manfaatnya",SMK Energi dan Pertambangan
"Pengelolaan energi terbarukan dari tenaga surya itu seru, gw mau tau lebih banyak",SMK Energi dan Pertambangan
Aku ingin tahu bagaimana cara mengolah gas alam menjadi bahan bakar yang bisa digunakan sehari-hari.,SMK Energi dan Pertambangan
gw suka berenang di sungai dan denger kalau pembangkit listrik itu bagus dan tertarik dengannya,SMK Energi dan Pertambangan
aku tertarik sama cara buat bensin yang lebih efektif seperti di arab,SMK Energi dan Pertambangan
bentuk dan tipe batu yang berbeda membuat saya tertarik dimana mungkin di dalam bumi ada batu baru lagi,SMK Energi dan Pertambangan
kilang minyak ditengah laut selalu buat gw penasaran gimana cara bornya,SMK Energi dan Pertambangan
saya ingin belajar tentang bahan bakar,SMK Energi dan Pertambangan
saya ingin tau bagaimana cara mengolah minyak mentah menjadi bahan bakar,SMK Energi dan Pertambangan
saya mau belajar teknik produksi bahan bakar,SMK Energi dan Pertambangan
saya penasaran bagaiamana cara mengolah minyak dan gas,SMK Energi dan Pertambangan
saya tertarik dengan mesin bor minyak,SMK Energi dan Pertambangan
aku tertarik dengan pengolahan minyak bumi,SMK Energi dan Pertambangan
aku ingin melihat mesin pengebor minyak yang ada di tengah laut,SMK Energi dan Pertambangan
aku mau mengolah minyak dan gas supaya lebih ramah lingkungan,SMK Energi dan Pertambangan
aku ingin belajar teknik pengolahan petrokimia,SMK Energi dan Pertambangan
aku ingin mengolah bahan bakar gas,SMK Energi dan Pertambangan
aku ingin mengolah minyak bumi,SMK Energi dan Pertambangan
saya penasaran dengan pertambangan,SMK Energi dan Pertambangan
saya ingin lebih tau tentang mineral yang di tambang,SMK Energi dan Pertambangan
saya ingin belajar tentang batu batuan,SMK Energi dan Pertambangan
aku mau belajar tentang sejarah bumi,SMK Energi dan Pertambangan
saya tertarik dengan energi terbarukan,SMK Energi dan Pertambangan
saya mau belajar tentang penghasil energi yang ramah lingkungan,SMK Energi dan Pertambangan
saya tertarik dengan panel surya,SMK Energi dan Pertambangan
saya ingin belajar tentang kincir angin,SMK Energi dan Pertambangan
saya suka dengan teknik menghasilkan energi menggunakan air,SMK Energi dan Pertambangan
aku pengen buat generator tenaga air,SMK Energi dan Pertambangan
saya mau belajar cara menggunakan bendungan untuk menghasilkan listrik,SMK Energi dan Pertambangan
aku penasaran dengan biomassa,SMK Energi dan Pertambangan
saya ingin menghasilkan energi menggunakan bahan organik,SMK Energi dan Pertambangan
"Aku penasaran gimana cara memproduksi gas alam, kayaknya bakal jadi pelajaran yang seru.",SMK Energi dan Pertambangan
Eksplorasi tambang di bidang geologi bikin aku ingin tahu lebih jauh tentang prosesnya.,SMK Energi dan Pertambangan
"Energi biomassa sebagai sumber energi terbarukan itu menarik banget, aku ingin belajar lebih dalam.",SMK Energi dan Pertambangan
Rasanya keren kalau bisa tahu tentang teknik pengeboran minyak dan gas langsung di lapangan.,SMK Energi dan Pertambangan
Aku tertarik banget sama energi surya dan hidro sebagai energi ramah lingkungan.,SMK Energi dan Pertambangan
Belajar tentang pengolahan minyak dan gas rasanya bikin aku jadi ahli energi.,SMK Energi dan Pertambangan
"Aku ingin tahu lebih banyak soal pemboran, apalagi kalau ada praktik langsung di lapangan.",SMK Energi dan Pertambangan
Teknik produksi minyak dan gas bikin aku penasaran untuk belajar lebih dalam.,SMK Energi dan Pertambangan
Seru banget kalau bisa belajar eksplorasi tambang di bidang geologi.,SMK Energi dan Pertambangan
Aku ingin mengerti cara kerja energi biomassa untuk masa depan yang lebih baik.,SMK Energi dan Pertambangan
"Energi surya menarik banget, aku pengen tahu gimana cara pemanfaatannya.",SMK Energi dan Pertambangan
Aku penasaran sama cara pengolahan minyak yang lebih ramah lingkungan.,SMK Energi dan Pertambangan
"Geologi pertambangan seru banget, terutama belajar tentang batuan bernilai.",SMK Energi dan Pertambangan
"Aku tertarik belajar energi biomassa, rasanya bakal menarik banget.",SMK Energi dan Pertambangan
"Belajar teknik produksi gas dan minyak di kelas rasanya menyenangkan, aku mau coba.",SMK Energi dan Pertambangan
Aku penasaran banget sama pengeboran minyak dan alat-alat yang dipakai.,SMK Energi dan Pertambangan
Aku mau belajar cara mengolah minyak biar lebih ramah lingkungan.,SMK Energi dan Pertambangan
Eksplorasi tambang di bidang geologi bikin aku tertarik banget buat tahu lebih banyak.,SMK Energi dan Pertambangan
"Energi biomassa itu seru banget untuk dipelajari, apalagi manfaatnya besar.",SMK Energi dan Pertambangan
Aku ingin tahu lebih banyak soal pengelolaan energi terbarukan seperti tenaga surya.,SMK Energi dan Pertambangan
Aku mau belajar cara mengolah gas alam jadi bahan bakar sehari-hari.,SMK Energi dan Pertambangan
"Pembangkit listrik dari air bikin aku penasaran, apalagi dengan cara kerjanya.",SMK Energi dan Pertambangan
Aku tertarik mempelajari teknik pembuatan bensin yang lebih efisien.,SMK Energi dan Pertambangan
"Aku penasaran dengan bentuk batuan yang berbeda, siapa tahu ada jenis baru di dalam bumi.",SMK Energi dan Pertambangan
Kilang minyak di tengah laut selalu bikin aku penasaran dengan cara pengeborannya.,SMK Energi dan Pertambangan
Aku ingin belajar tentang bahan bakar dan cara mengolahnya.,SMK Energi dan Pertambangan
Aku penasaran gimana minyak mentah bisa diubah jadi bahan bakar.,SMK Energi dan Pertambangan
Aku mau belajar teknik produksi bahan bakar dan pengolahannya.,SMK Energi dan Pertambangan
Aku tertarik mempelajari mesin bor minyak dan cara kerjanya.,SMK Energi dan Pertambangan
Aku penasaran sama teknik pengolahan minyak bumi dan gas alam.,SMK Energi dan Pertambangan
Aku pengen lihat mesin pengebor minyak di tengah laut.,SMK Energi dan Pertambangan
Aku ingin belajar cara membuat minyak dan gas lebih ramah lingkungan.,SMK Energi dan Pertambangan
Aku mau mempelajari teknik pengolahan petrokimia untuk bahan bakar.,SMK Energi dan Pertambangan
Aku penasaran dengan dunia pertambangan dan mineral yang dihasilkan.,SMK Energi dan Pertambangan
Aku tertarik belajar tentang batu-batuan dan sejarah bumi.,SMK Energi dan Pertambangan
Aku ingin tahu lebih banyak soal energi terbarukan seperti panel surya dan kincir angin.,SMK Energi dan Pertambangan
"Aku suka belajar teknik menghasilkan energi dari air, seperti bendungan dan generator tenaga air.",SMK Energi dan Pertambangan
Aku penasaran dengan biomassa sebagai sumber energi ramah lingkungan.,SMK Energi dan Pertambangan
Aku ingin menghasilkan energi menggunakan bahan organik dan sumber daya terbarukan.,SMK Energi dan Pertambangan
Gua pengen tau cara pengolahan minyak bumi dan gas untuk jadi energi,SMK Energi dan Pertambangan
gua mau belajar tentang minyak bumi,SMK Energi dan Pertambangan
gua pengen bekerja di kilang minyak,SMK Energi dan Pertambangan
gua suka dengan pengebor minyak yang ada di laut,SMK Energi dan Pertambangan
gua suka lihat minyak bumi diolah menjadi bahan bakar kendaraan,SMK Energi dan Pertambangan
gua pengen tau gimana gas diolah agar bisa dipakai untuk kompor,SMK Energi dan Pertambangan
gua pengen belajar cara buat bensin,SMK Energi dan Pertambangan
gua pengen tau perbedaan tiap bahan bakar,SMK Energi dan Pertambangan
gua penasaran dengan bebatuan,SMK Energi dan Pertambangan
aku mau tau lebih banyak tentang mineral,SMK Energi dan Pertambangan
aku suka lihat hasil tambang,SMK Energi dan Pertambangan
aku pengen ngolah hasil tambang,SMK Energi dan Pertambangan
aku suka lihat proyek tambang yang ada kendaaraan besar,SMK Energi dan Pertambangan
aku penasaaran dengan geologi pertambangan,SMK Energi dan Pertambangan
aku mau kerja di pertambangan,SMK Energi dan Pertambangan
aku pengen belajar tentang energi yang bisa dipakai lagi,SMK Energi dan Pertambangan
gua pengen semua rumah pakai energi terbarukan,SMK Energi dan Pertambangan
gua mau semuanya pakai energi yang dapat dipakai lagi,SMK Energi dan Pertambangan
gua pengen belajar tentang energi terbarukan karena bebas polusi,SMK Energi dan Pertambangan
aku ingin belajar produksi energi bebas polusi,SMK Energi dan Pertambangan
gua pengen bisa buat panel surya yang bisa dipakai dimana saja,SMK Energi dan Pertambangan
gua mau buat panel surya yang berfungsi sebagai atap,SMK Energi dan Pertambangan
aku ingin membuat panel surya yang dapat berfungsi sebagai jendela juga,SMK Energi dan Pertambangan
aku suka lihat kincir angin,SMK Energi dan Pertambangan
saya mau belajar cara kerja kincir angin,SMK Energi dan Pertambangan
saya penasaran angin dapat dimanfaatkan sebagai energi,SMK Energi dan Pertambangan
saya mau buat kincir angin yang dapat digunakan dimana saja,SMK Energi dan Pertambangan
aku pengen punya kincir angin sendiri,SMK Energi dan Pertambangan
aku penasaran dengan turbin angin,SMK Energi dan Pertambangan
aku mau buat turbin angin yang lebih kecil agar bisa dipakai dimana saja,SMK Energi dan Pertambangan
aku mau membuat PLTB yang bagus,SMK Energi dan Pertambangan
aku penasaran dengan jenis jenis pembangkit listrik tenaga bayu,SMK Energi dan Pertambangan
aku mau tau prinsip dasar generator,SMK Energi dan Pertambangan
aku pengen buat PLTB yang mudah dipasang,SMK Energi dan Pertambangan
saya mau belajar tentang PLTS,SMK Energi dan Pertambangan
saya ingin mempelajari jenis jenis pembangkit listrik tenaga surya,SMK Energi dan Pertambangan
saya ingin membuat PLTS yang dapat menyerap lebih banyak energi,SMK Energi dan Pertambangan
saya mau PLTS dapat mengecas lebih cepat,SMK Energi dan Pertambangan
saya mau buat panel surya yang bisa menyimpan banyak energi,SMK Energi dan Pertambangan
aku mau buat generator air,SMK Energi dan Pertambangan
aku mau buat PLTA yang tidak membutuhkan lahan yang besar,SMK Energi dan Pertambangan
aku pengen tau gimana aliran air bisa kasih listrik,SMK Energi dan Pertambangan
gua mau buat generator air untuk tempat yang susah akses listrik,SMK Energi dan Pertambangan
gua mau panel surya bisa dipakai di tempat yang susah akses listrik,SMK Energi dan Pertambangan
gua mau buat kincir angin yang dapat dipakai di area yang akses listriknya masih sulit,SMK Energi dan Pertambangan
saya beraspirasi untuk semua pembangkit listrik menggunakan sumber daya terbarukan,SMK Energi dan Pertambangan
saya mau belajar cara memanfaatkan hasil tambang,SMK Energi dan Pertambangan
saya mau belajar tentang jenis jenis logam hasil tambang,SMK Energi dan Pertambangan
saya mau belajar produksi minyak bumi dan gas alam,SMK Energi dan Pertambangan
